left,right,container_chain,operation,left_member_index,right_member_index,left_name,right_name,left_sha256,right_sha256,left_size,right_size,left_format,right_format
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/data/mmodel/mmodel.narc,equal,246,246,,,56b76f9d41c8d48971395c45dee92d9c35f3043f925c5f4dd5950b919613d6f9,56b76f9d41c8d48971395c45dee92d9c35f3043f925c5f4dd5950b919613d6f9,744,744,NSBTX texture,NSBTX texture
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/data/mmodel/mmodel.narc,equal,247,247,,,ec196fef6a664ce956499e674d34bc5b7cf11f1a3c374dbe42ff5f0ba09f3647,ec196fef6a664ce956499e674d34bc5b7cf11f1a3c374dbe42ff5f0ba09f3647,760,760,NSBTX texture,NSBTX texture
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/data/mmodel/mmodel.narc,equal,248,248,,,78d235d063b0feddfed49324cda7a61ad70e88de6ebbaa8bb8ea682e8f958dbe,78d235d063b0feddfed49324cda7a61ad70e88de6ebbaa8bb8ea682e8f958dbe,760,760,NSBTX texture,NSBTX texture
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/data/mmodel/mmodel.narc,equal,249,249,,,caec0dd40bcb6d4d9730c4413af1c44be5be0262c0261a4c6c8fe62add8eb6be,caec0dd40bcb6d4d9730c4413af1c44be5be0262c0261a4c6c8fe62add8eb6be,792,792,NSBTX texture,NSBTX texture
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/data/mmodel/mmodel.narc,equal,250,250,,,cdd9b51bc616cd821b23e749d36ee14b1385a47be1855f644bf3609b6e8864aa,cdd9b51bc616cd821b23e749d36ee14b1385a47be1855f644bf3609b6e8864aa,760,760,NSBTX texture,NSBTX texture
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/data/mmodel/mmodel.narc,equal,251,251,,,98e50e218012a23992c13e30c3bb4b5a4d5ec3ad61ecfa3117dca430f207e1f7,98e50e218012a23992c13e30c3bb4b5a4d5ec3ad61ecfa3117dca430f207e1f7,760,760,NSBTX texture,NSBTX texture
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/data/mmodel/mmodel.narc,equal,252,252,,,adfda675a363cb9add955eb66921760ba3ec283ccea4b6728d0ac1794e97e6cd,adfda675a363cb9add955eb66921760ba3ec283ccea4b6728d0ac1794e97e6cd,760,760,NSBTX texture,NSBTX texture
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/data/mmodel/mmodel.narc,equal,253,253,,,93e5aa9738a7b999e92b17b7d8b0c8e2c72bd28eb4094c2f46a321619f2f987e,93e5aa9738a7b999e92b17b7d8b0c8e2c72bd28eb4094c2f46a321619f2f987e,760,760,NSBTX texture,NSBTX texture
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/data/mmodel/mmodel.narc,equal,254,254,,,f71d8ac88498070e1a03caa81490ec368a2d017889eaf46415cf95f573143df1,f71d8ac88498070e1a03caa81490ec368a2d017889eaf46415cf95f573143df1,760,760,NSBTX texture,NSBTX texture
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/data/mmodel/mmodel.narc,equal,255,255,,,eb13868f6a03c686b2c905b0910edb7b0381249a15aa348f01329d9b8047d458,eb13868f6a03c686b2c905b0910edb7b0381249a15aa348f01329d9b8047d458,760,760,NSBTX texture,NSBTX texture
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/data/mmodel/mmodel.narc,equal,256,256,,,8dd63ccf5c908356e8b88ff9a29982d784a54de1dd2f979281045bd7409bb283,8dd63ccf5c908356e8b88ff9a29982d784a54de1dd2f979281045bd7409bb283,760,760,NSBTX texture,NSBTX texture
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/data/mmodel/mmodel.narc,equal,257,257,,,601a1765cc1bb8e315c51ac87b4b2ee7aa86065fe70114d4d86f677d778cc7ba,601a1765cc1bb8e315c51ac87b4b2ee7aa86065fe70114d4d86f677d778cc7ba,760,760,NSBTX texture,NSBTX texture
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/data/mmodel/mmodel.narc,equal,258,258,,,2c046da9f0de13e1221305e4576e548f01a5cab080401eb66370ca4beccb4ed4,2c046da9f0de13e1221305e4576e548f01a5cab080401eb66370ca4beccb4ed4,760,760,NSBTX texture,NSBTX texture
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/data/mmodel/mmodel.narc,equal,259,259,,,b82de0277da2ee6eaacd9d801cc79a79b4abba10d9f3fd865a4308f6493025a0,b82de0277da2ee6eaacd9d801cc79a79b4abba10d9f3fd865a4308f6493025a0,760,760,NSBTX texture,NSBTX texture
