left,right,container_chain,operation,left_member_index,right_member_index,left_name,right_name,left_sha256,right_sha256,left_size,right_size,left_format,right_format
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/poketool/pokegra/height.narc,equal,256,256,,,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,1,1,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/poketool/pokegra/height.narc,equal,257,257,,,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,1,1,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/poketool/pokegra/height.narc,equal,258,258,,,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,1,1,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/poketool/pokegra/height.narc,equal,259,259,,,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,1,1,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/poketool/pokegra/height.narc,equal,260,260,,,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,1,1,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/poketool/pokegra/height.narc,equal,261,261,,,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,1,1,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/poketool/pokegra/height.narc,replace,262,262,,,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,1,1,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/poketool/pokegra/height.narc,replace,263,263,,,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,1,1,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/poketool/pokegra/height.narc,equal,264,264,,,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,1,1,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/poketool/pokegra/height.narc,equal,265,265,,,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,1,1,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/poketool/pokegra/height.narc,equal,266,266,,,dc0e9c3658a1a3ed1ec94274d8b19925c93e1abb7ddba294923ad9bde30f8cb8,dc0e9c3658a1a3ed1ec94274d8b19925c93e1abb7ddba294923ad9bde30f8cb8,1,1,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/poketool/pokegra/height.narc,equal,267,267,,,dc0e9c3658a1a3ed1ec94274d8b19925c93e1abb7ddba294923ad9bde30f8cb8,dc0e9c3658a1a3ed1ec94274d8b19925c93e1abb7ddba294923ad9bde30f8cb8,1,1,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/poketool/pokegra/height.narc,equal,268,268,,,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,1,1,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/poketool/pokegra/height.narc,equal,269,269,,,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,1,1,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/poketool/pokegra/height.narc,equal,270,270,,,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,1,1,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/poketool/pokegra/height.narc,equal,271,271,,,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,1,1,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/poketool/pokegra/height.narc,equal,272,272,,,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,1,1,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/poketool/pokegra/height.narc,equal,273,273,,,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,1,1,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/poketool/pokegra/height.narc,equal,274,274,,,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,1,1,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/poketool/pokegra/height.narc,equal,275,275,,,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,1,1,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/poketool/pokegra/height.narc,equal,276,276,,,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,1,1,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/poketool/pokegra/height.narc,equal,277,277,,,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,1,1,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/poketool/pokegra/height.narc,equal,278,278,,,f299791cddd3d6664f6670842812ef6053eb6501bd6282a476bbbf3ee91e750c,f299791cddd3d6664f6670842812ef6053eb6501bd6282a476bbbf3ee91e750c,1,1,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/poketool/pokegra/height.narc,equal,279,279,,,f299791cddd3d6664f6670842812ef6053eb6501bd6282a476bbbf3ee91e750c,f299791cddd3d6664f6670842812ef6053eb6501bd6282a476bbbf3ee91e750c,1,1,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/poketool/pokegra/height.narc,equal,280,280,,,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,1,1,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)",/poketool/pokegra/height.narc,equal,281,281,,,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,1,1,,
