left,right,container_chain,operation,left_member_index,right_member_index,left_name,right_name,left_sha256,right_sha256,left_size,right_size,left_format,right_format
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/fielddata/script/scr_seq_release.narc,equal,323,323,,,e75515923b274f500958e3cacce011086a1a764ed2a46d18ffaacef95d22c80c,e75515923b274f500958e3cacce011086a1a764ed2a46d18ffaacef95d22c80c,268,268,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/fielddata/script/scr_seq_release.narc,equal,324,324,,,bc7870e2f6f2df491bedb167696e909d76aaaabffedce475dd6163c6d9c4979a,bc7870e2f6f2df491bedb167696e909d76aaaabffedce475dd6163c6d9c4979a,36,36,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/fielddata/script/scr_seq_release.narc,equal,325,325,,,39de46cdfef4d280ae69863e81428e0ba1f7a771cf410b5fee918a703b360780,39de46cdfef4d280ae69863e81428e0ba1f7a771cf410b5fee918a703b360780,132,132,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/fielddata/script/scr_seq_release.narc,equal,326,326,,,1c41889b5ca0b389bff2b87b597a76386e51e014486e52a57b44cf72e8bf3470,1c41889b5ca0b389bff2b87b597a76386e51e014486e52a57b44cf72e8bf3470,8,8,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/fielddata/script/scr_seq_release.narc,equal,327,327,,,1c41889b5ca0b389bff2b87b597a76386e51e014486e52a57b44cf72e8bf3470,1c41889b5ca0b389bff2b87b597a76386e51e014486e52a57b44cf72e8bf3470,8,8,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/fielddata/script/scr_seq_release.narc,equal,328,328,,,1c41889b5ca0b389bff2b87b597a76386e51e014486e52a57b44cf72e8bf3470,1c41889b5ca0b389bff2b87b597a76386e51e014486e52a57b44cf72e8bf3470,8,8,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/fielddata/script/scr_seq_release.narc,equal,329,329,,,0083b5b7be1d353d5cff3726d5aa4cb2f458e3a89c14e870985576e7f03b76f9,0083b5b7be1d353d5cff3726d5aa4cb2f458e3a89c14e870985576e7f03b76f9,208,208,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/fielddata/script/scr_seq_release.narc,equal,330,330,,,1c41889b5ca0b389bff2b87b597a76386e51e014486e52a57b44cf72e8bf3470,1c41889b5ca0b389bff2b87b597a76386e51e014486e52a57b44cf72e8bf3470,8,8,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/fielddata/script/scr_seq_release.narc,equal,331,331,,,b42594e7aa9c51c0682e67dddf2fd55d2aefeeb1e9870fb9c60352a952eca82f,b42594e7aa9c51c0682e67dddf2fd55d2aefeeb1e9870fb9c60352a952eca82f,108,108,,
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/fielddata/script/scr_seq_release.narc,equal,332,332,,,1c41889b5ca0b389bff2b87b597a76386e51e014486e52a57b44cf72e8bf3470,1c41889b5ca0b389bff2b87b597a76386e51e014486e52a57b44cf72e8bf3470,8,8,,
