path,status,present_in,missing_from,sha256_by_rom,size_by_rom
/a/0/1/0,subset_present,"[""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)""]","[""Pokémon Diamond Version (USA, ADAE, header ROM version 5)"", ""Pokémon Pearl Version (USA, APAE, header ROM version 5)"", ""포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)""]","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": ""4a69ebb45bd7bc67d2342acb24d62a7a388f5792f1448426f3860e9fd89516f8"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": ""4a69ebb45bd7bc67d2342acb24d62a7a388f5792f1448426f3860e9fd89516f8""}","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": 255632, ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": 255632}"
/a/0/1/1,subset_present,"[""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)""]","[""Pokémon Diamond Version (USA, ADAE, header ROM version 5)"", ""Pokémon Pearl Version (USA, APAE, header ROM version 5)"", ""포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)""]","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": ""654d7edd0b0be66f6189ee87026dd701a2b8d98afa19a3991c8417803c50faea"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": ""654d7edd0b0be66f6189ee87026dd701a2b8d98afa19a3991c8417803c50faea""}","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": 11356, ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": 11356}"
/a/0/1/2,subset_present,"[""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)""]","[""Pokémon Diamond Version (USA, ADAE, header ROM version 5)"", ""Pokémon Pearl Version (USA, APAE, header ROM version 5)"", ""포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)""]","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": ""bab429408b962c513d3e3ba89f67d8d74d6824563cd30fc317d473edacd05d18"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": ""bab429408b962c513d3e3ba89f67d8d74d6824563cd30fc317d473edacd05d18""}","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": 372012, ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": 372012}"
/a/0/1/3,subset_present,"[""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)""]","[""Pokémon Diamond Version (USA, ADAE, header ROM version 5)"", ""Pokémon Pearl Version (USA, APAE, header ROM version 5)"", ""포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)""]","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": ""89e84ab4475c85ad4358761c89c69c16f51c024041d2081a1da6ad1ad51b7cba"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": ""89e84ab4475c85ad4358761c89c69c16f51c024041d2081a1da6ad1ad51b7cba""}","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": 6748, ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": 6748}"
/a/0/1/4,subset_present,"[""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)""]","[""Pokémon Diamond Version (USA, ADAE, header ROM version 5)"", ""Pokémon Pearl Version (USA, APAE, header ROM version 5)"", ""포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)""]","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": ""f8cb6ab93fc08f5394425f050cbf9c71b92d65f64ca1e30d8414a69948771a4e"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": ""f8cb6ab93fc08f5394425f050cbf9c71b92d65f64ca1e30d8414a69948771a4e""}","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": 24996, ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": 24996}"
/a/0/1/5,subset_present,"[""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)""]","[""Pokémon Diamond Version (USA, ADAE, header ROM version 5)"", ""Pokémon Pearl Version (USA, APAE, header ROM version 5)"", ""포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)""]","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": ""b48c6ff7cf784b4cca74a920b90bb6cc67087464b11cb437abcf14528b291ca3"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": ""b48c6ff7cf784b4cca74a920b90bb6cc67087464b11cb437abcf14528b291ca3""}","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": 274376, ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": 274376}"
/a/0/1/6,subset_present,"[""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)""]","[""Pokémon Diamond Version (USA, ADAE, header ROM version 5)"", ""Pokémon Pearl Version (USA, APAE, header ROM version 5)"", ""포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)""]","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": ""58638e5171d526c59595ecd229b9be6fd3e0a8462688b1ced8dacae85ab0a56f"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": ""58638e5171d526c59595ecd229b9be6fd3e0a8462688b1ced8dacae85ab0a56f""}","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": 1201508, ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": 1201508}"
/a/0/1/7,subset_present,"[""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)""]","[""Pokémon Diamond Version (USA, ADAE, header ROM version 5)"", ""Pokémon Pearl Version (USA, APAE, header ROM version 5)"", ""포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)""]","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": ""577631590698709a75a7142da8a037e1641b8c41ac4cf9dd481de3f3d4e3a29c"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": ""577631590698709a75a7142da8a037e1641b8c41ac4cf9dd481de3f3d4e3a29c""}","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": 22668, ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": 22668}"
/a/0/1/8,subset_present,"[""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)""]","[""Pokémon Diamond Version (USA, ADAE, header ROM version 5)"", ""Pokémon Pearl Version (USA, APAE, header ROM version 5)"", ""포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)""]","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": ""abaa10233234c73bff7568be751482083d64b2b4e195b266e4b3db0c8b8b5704"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": ""abaa10233234c73bff7568be751482083d64b2b4e195b266e4b3db0c8b8b5704""}","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": 448456, ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": 448456}"
/a/0/1/9,subset_present,"[""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)""]","[""Pokémon Diamond Version (USA, ADAE, header ROM version 5)"", ""Pokémon Pearl Version (USA, APAE, header ROM version 5)"", ""포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)""]","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": ""f7a1a97638959a685719049a0b780686edb68704777fead790b230e10ed1df4a"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": ""f7a1a97638959a685719049a0b780686edb68704777fead790b230e10ed1df4a""}","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": 80596, ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": 80596}"
